68.142.251.133 - - [08/Jun/2006:07:08:51 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
216.29.182.154 - - [08/Jun/2006:10:54:25 -0400] "GET /pix/redpixel.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/slogan.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/button_home-over.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/button_employers.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/button_candidates.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/button_about.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/back_home.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/hjhl.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/afaik.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/fwiw.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/ttys.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/button_employers-over.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/button_candidates-over.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:26 -0400] "GET /pix/button_about-over.gif HTTP/1.1" 304 - "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:34 -0400] "GET /01employers.html HTTP/1.1" 200 18137 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:34 -0400] "GET /menzies.css HTTP/1.1" 200 1397 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:34 -0400] "GET /pix/photo_employer.jpg HTTP/1.1" 200 4582 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/button_home.gif HTTP/1.1" 200 200 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/graypixel.gif HTTP/1.1" 200 35 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/title_employers.gif HTTP/1.1" 200 1036 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/3columline.gif HTTP/1.1" 200 193 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/inthissection.gif HTTP/1.1" 200 591 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/back2line.gif HTTP/1.1" 200 69 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/sidebutton_01a.gif HTTP/1.1" 200 1255 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/sidebutton_01b.gif HTTP/1.1" 200 496 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/sidebutton_01c.gif HTTP/1.1" 200 806 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/whenshoefits.gif HTTP/1.1" 200 673 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/sidebutton_01a-over.gif HTTP/1.1" 200 1196 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:35 -0400] "GET /pix/sidebutton_01b-over.gif HTTP/1.1" 200 437 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:36 -0400] "GET /pix/sidebutton_01c-over.gif HTTP/1.1" 200 743 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:44 -0400] "GET /02candidates.html HTTP/1.1" 200 16658 "http://www.menziessearch.com/01employers.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:44 -0400] "GET /pix/photo_candidates.jpg HTTP/1.1" 200 3939 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:45 -0400] "GET /pix/title_candidates.gif HTTP/1.1" 200 1075 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:45 -0400] "GET /pix/back1line.gif HTTP/1.1" 200 67 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:45 -0400] "GET /pix/sidebutton_2a.gif HTTP/1.1" 200 1248 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:45 -0400] "GET /pix/sidebutton_2b.gif HTTP/1.1" 200 718 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:45 -0400] "GET /pix/sidebutton_2c.gif HTTP/1.1" 200 434 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:45 -0400] "GET /pix/sidebutton_2d.gif HTTP/1.1" 200 784 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:45 -0400] "GET /pix/sidebutton_2a-over.gif HTTP/1.1" 200 1187 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:45 -0400] "GET /pix/sidebutton_2b-over.gif HTTP/1.1" 200 660 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:45 -0400] "GET /pix/sidebutton_2c-over.gif HTTP/1.1" 200 372 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:45 -0400] "GET /pix/sidebutton_2d-over.gif HTTP/1.1" 200 725 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:48 -0400] "GET /03about.html HTTP/1.1" 200 16537 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:48 -0400] "GET /pix/photo_about.jpg HTTP/1.1" 200 5707 "http://www.menziessearch.com/03about.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:48 -0400] "GET /pix/title_about.gif HTTP/1.1" 200 1784 "http://www.menziessearch.com/03about.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:48 -0400] "GET /pix/sidebutton_03a.gif HTTP/1.1" 200 487 "http://www.menziessearch.com/03about.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:49 -0400] "GET /pix/sidebutton_03b.gif HTTP/1.1" 200 546 "http://www.menziessearch.com/03about.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:49 -0400] "GET /pix/sidebutton_03c.gif HTTP/1.1" 200 506 "http://www.menziessearch.com/03about.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:49 -0400] "GET /pix/sidebutton_03a-over.gif HTTP/1.1" 200 436 "http://www.menziessearch.com/03about.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:49 -0400] "GET /pix/sidebutton_03b-over.gif HTTP/1.1" 200 490 "http://www.menziessearch.com/03about.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:49 -0400] "GET /pix/sidebutton_03c-over.gif HTTP/1.1" 200 442 "http://www.menziessearch.com/03about.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:10:54:52 -0400] "GET /03about/031meetdonna.html HTTP/1.1" 200 16250 "http://www.menziessearch.com/03about.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.29.182.154 - - [08/Jun/2006:11:08:48 -0400] "GET /02candidates/023jobs.html HTTP/1.1" 200 22661 "http://www.menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
205.153.104.12 - - [08/Jun/2006:11:44:26 -0400] "GET / HTTP/1.1" 200 16180 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:26 -0400] "GET /pix/espacio.gif HTTP/1.1" 200 43 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:27 -0400] "GET / HTTP/1.1" 200 16180 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:27 -0400] "GET /pix/espacio.gif HTTP/1.1" 200 43 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:27 -0400] "GET /pix/photo_home.jpg HTTP/1.1" 200 6177 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:27 -0400] "GET /pix/logo.gif HTTP/1.1" 200 1499 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:27 -0400] "GET /pix/redpixel.gif HTTP/1.1" 200 35 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:27 -0400] "GET /pix/button_home-over.gif HTTP/1.1" 200 200 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:27 -0400] "GET /pix/button_employers.gif HTTP/1.1" 200 301 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:27 -0400] "GET /pix/button_candidates.gif HTTP/1.1" 200 344 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:27 -0400] "GET /pix/button_about.gif HTTP/1.1" 200 223 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:28 -0400] "GET /pix/back_home.gif HTTP/1.1" 200 5333 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:28 -0400] "GET /pix/hjhl.gif HTTP/1.1" 200 534 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:28 -0400] "GET /pix/afaik.gif HTTP/1.1" 200 567 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:28 -0400] "GET /pix/fwiw.gif HTTP/1.1" 200 531 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:29 -0400] "GET /pix/ttys.gif HTTP/1.1" 200 484 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:30 -0400] "GET /pix/slogan.gif HTTP/1.1" 200 1226 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:30 -0400] "GET /menzies.css HTTP/1.1" 200 1397 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:30 -0400] "GET /02candidates.html HTTP/1.1" 200 16658 "http://menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:31 -0400] "GET /pix/photo_candidates.jpg HTTP/1.1" 200 3939 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:31 -0400] "GET /pix/slogan.gif HTTP/1.1" 200 1226 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:31 -0400] "GET /pix/button_home.gif HTTP/1.1" 200 200 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:31 -0400] "GET /pix/button_candidates-over.gif HTTP/1.1" 200 344 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:31 -0400] "GET /pix/title_candidates.gif HTTP/1.1" 200 1075 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:31 -0400] "GET /pix/inthissection.gif HTTP/1.1" 200 591 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:31 -0400] "GET /pix/back1line.gif HTTP/1.1" 200 67 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:32 -0400] "GET /pix/sidebutton_2a.gif HTTP/1.1" 200 1248 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:32 -0400] "GET /pix/sidebutton_2b.gif HTTP/1.1" 200 718 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:32 -0400] "GET /pix/sidebutton_2c.gif HTTP/1.1" 200 434 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:32 -0400] "GET /pix/sidebutton_2d.gif HTTP/1.1" 200 784 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:33 -0400] "GET /02candidates/023jobs.html HTTP/1.1" 200 22661 "http://menziessearch.com/02candidates.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:33 -0400] "GET /pix/graypixel.gif HTTP/1.1" 200 35 "http://menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.153.104.12 - - [08/Jun/2006:11:44:33 -0400] "GET /pix/sidebutton_2c-over.gif HTTP/1.1" 200 372 "http://menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
